layer,sheet_name,field_name,field_description,row_granularity,data_type,nullable,primary_key,foreign_key,source_system,source_entityset,source_property,field_classification,validation_rule,example_value,incremental_rule,deletion_rule,ai_seller_direct,future_consumer,expected_rows_current_scope,confirmed_status,notes
TECHNICAL,RAW_SOURCE_SYSTEMS,source_system_id,Stable source-system key,one row per logical source system,text,NO,YES,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,Unique; uppercase snake case,1C_STANDARD_ODATA,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,source_system_name,Human-readable source name,one row per logical source system,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,Not blank,1C Standard OData,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,source_system_type,Source class,one row per logical source system,enum,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,1C_ODATA|DERIVATION|SNAPSHOT,1C_ODATA,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,access_mode,Permitted access mode,one row per logical source system,enum,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,READ_ONLY only for 1C,READ_ONLY,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,endpoint_reference,Masked endpoint description; never credentials,one row per logical source system,text,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,No user/password/token/query secrets,HTTPS OData endpoint (masked),UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,credentials_reference,"Name of existing secret mechanism, not a secret",one row per logical source system,text,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,Must not contain values,ODATA_* environment variables,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,active,Whether source is active for v1 extraction,one row per logical source system,boolean,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,TRUE|FALSE,TRUE,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SOURCE_SYSTEMS,notes,Operational notes,one row per logical source system,text,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,3,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,schema_version_id,Stable schema version ID,one row per frozen RAW COMPLETE schema version,text,NO,YES,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,Unique,raw_complete_v1,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,version_label,Display version,one row per frozen RAW COMPLETE schema version,text,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,Not blank,RAW COMPLETE v1,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,contract_status,Approval state,one row per frozen RAW COMPLETE schema version,enum,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,DRAFT|OWNER_APPROVED|FROZEN|RETIRED,DRAFT,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,created_at_utc,Contract creation timestamp,one row per frozen RAW COMPLETE schema version,datetime,NO,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,ISO-8601 UTC,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,approved_at_utc,Owner approval timestamp,one row per frozen RAW COMPLETE schema version,datetime,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,approved_by,Owner-provided approver identity,one row per frozen RAW COMPLETE schema version,text,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,dictionary_checksum_sha256,SHA-256 of Data Dictionary CSV,one row per frozen RAW COMPLETE schema version,sha256,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,DERIVED,64 lowercase hex,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,mapping_checksum_sha256,SHA-256 of EntitySet Mapping CSV,one row per frozen RAW COMPLETE schema version,sha256,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,DERIVED,64 lowercase hex,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_SCHEMA_VERSIONS,notes,Version notes,one row per frozen RAW COMPLETE schema version,text,YES,NO,,CONTRACT,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,1 at v1 freeze,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,run_id,Stable run key,one row per EntitySet extraction attempt,text,NO,YES,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,Unique; immutable,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,parent_run_id,Optional parent run,one row per EntitySet extraction attempt,text,YES,NO,RAW_EXTRACTION_RUNS.run_id,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,schema_version_id,Schema version,one row per EntitySet extraction attempt,text,NO,NO,RAW_SCHEMA_VERSIONS.schema_version_id,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,source_system_id,Source system,one row per EntitySet extraction attempt,text,NO,NO,RAW_SOURCE_SYSTEMS.source_system_id,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
TECHNICAL,RAW_EXTRACTION_RUNS,source_entityset,Exact EntitySet,one row per EntitySet extraction attempt,text,NO,NO,,AI_FACTORY_DERIVATION,TECHNICAL,TECHNICAL,TECHNICAL,Not blank,,UPSERT by primary key inside the run scope; never overwrite CURRENT RAW,"Preserve source deletion/status flag; use logical tombstone, never hard-delete historical run evidence",NO,audit only,approximately 30-45 per full run,CONFIRMED_SOURCE,
