layer,target_sheet,source_system,source_entityset,source_role,row_granularity,key_mapping,select_scope,expected,extracted,validated,rejected,missing_relation,status,incremental_strategy,notes
CORE,RAW_PRODUCTS,1C_STANDARD_ODATA,Catalog_Номенклатура,primary entity,one row per product,product_id=Ref_Key,active yarn branch; direct stable fields,204,204,204,0,0,VALIDATED,full scoped upsert,Current RAW remains immutable
CORE,RAW_VARIANTS,1C_STANDARD_ODATA,Catalog_ХарактеристикиНоменклатуры,primary entity,one row per characteristic,variant_id=Ref_Key; product_id=Owner,"9,114 known variant GUIDs","9,114","9,114","9,114",0,0,VALIDATED,full scoped upsert,7 source deletion marks retained
CORE,RAW_CLASSIFICATIONS,1C_STANDARD_ODATA,Catalog_Номенклатура,1C groups,one row per folder,source_category_id=Ref_Key,active yarn ancestor folders,18 confirmed,18 baseline,pending contract load,0,0,CONFIRMED,upsert by system+id,Never merge with web/marketplace namespace
CORE,RAW_CLASSIFICATIONS,1C_STANDARD_ODATA,Catalog_iq_Категории,web categories,one row per category,source_category_id=Ref_Key,categories referenced by yarn,15,15,15,0,0,VALIDATED,transitive referenced closure,HTML/meta retained raw
CORE,RAW_PRODUCT_CLASSIFICATIONS,1C_STANDARD_ODATA,Catalog_Номенклатура,1C group link,one row per product-parent,product_id=Ref_Key; category=Parent_Key,204 products,204,204,204,0,0,VALIDATED,replace scoped relation,
CORE,RAW_PRODUCT_CLASSIFICATIONS,1C_STANDARD_ODATA,InformationRegister_iq_КатегорииТоваров,web category link,one row per relation,product_id=Номенклатура_Key; category=Категория_Key,204 products,203,203,203,0,1,VALIDATED_WITH_ONE_MISSING,replace scoped relation,"Missing relation reported, not fabricated"
CORE,RAW_MANUFACTURERS,1C_STANDARD_ODATA,Catalog_Производители,lookup,one row per referenced manufacturer,manufacturer_id=Ref_Key,referenced keys only,15,15,15,0,0,VALIDATED,referenced closure,189/204 products link
CORE,RAW_UNIT_DEFINITIONS,1C_STANDARD_ODATA,Catalog_УпаковкиЕдиницыИзмерения,lookup,one row per referenced unit,unit_id=Ref_Key,transitive referenced keys,at least 3,baseline exists,pending v1 load,0,pending,CONFIRMED,referenced closure,"Do not extract unrelated 2,136 records by default"
CORE,RAW_PACKAGE_SETS,1C_STANDARD_ODATA,Catalog_НаборыУпаковок,lookup,one row per referenced set,package_set_id=Ref_Key,referenced keys,1,1,1,0,0,VALIDATED,referenced closure,
TECHNICAL,RAW_EXTRACTION_RUNS,1C_STANDARD_ODATA,Catalog_УпаковкиЕдиницыИзмерения,deferred package-child zero-row/reference test,one control result per extraction run; no package-item physical row,run_id; preserve observed package keys only in their owning source sheets,referenced owner,0 confirmed package-child rows until type/reference test succeeds,0 baseline,0 baseline,0,reported by CTRL-PACKAGE-REFERENCE-TYPE,DEFERRED_CONTROL_ONLY,append one test outcome to the extraction run evidence,Original RAW_PACKAGE_ITEMS mapping preserved as control lineage; no physical package-item sheet and no guessed FK
CORE,RAW_WAREHOUSES,1C_STANDARD_ODATA,Catalog_Склады,lookup,one row per referenced warehouse,warehouse_id=Ref_Key,stock-referenced keys,8 expected,8 names in CURRENT RAW,pending,0,pending,CONFIRMED,referenced closure,Do not expose warehouse detail to customer
CORE,RAW_PRICE_TYPES,1C_STANDARD_ODATA,Catalog_ВидыЦен,lookup,one row per referenced price type,price_type_id=Ref_Key,price-referenced keys,10,10,10,0,0,VALIDATED,referenced closure,
